,Season,Squad,W,D,L,GF,GA,Pts,Sh,SoT,FK,PK,Cmp,Att,Cmp%,CK,CrdY,CrdR,Fls,PKcon,OG
577,1995-1996,Manchester City,9,11,18,33,58,38,0,181,0,2,0,0,0.0,0,53,0,0,0,0
578,1995-1996,QPR,9,6,23,38,57,33,0,195,0,5,0,0,0.0,0,52,4,0,0,0
579,1995-1996,Bolton,8,5,25,39,71,29,0,184,0,2,0,0,0.0,0,57,7,0,0,0
580,1994-1995,Blackburn,27,8,7,80,39,89,0,201,0,3,0,0,0.0,0,64,4,0,0,0
581,1994-1995,Manchester Utd,26,10,6,77,29,88,0,175,0,1,0,0,0.0,0,62,3,0,0,0
582,1994-1995,Nott'ham Forest,22,11,9,72,43,77,0,264,0,10,0,0,0.0,0,60,4,0,0,0
583,1994-1995,Liverpool,21,11,10,65,37,74,0,191,0,1,0,0,0.0,0,60,3,0,0,0
584,1994-1995,Leeds United,20,13,9,59,38,73,0,204,0,5,0,0,0.0,0,54,3,0,0,0
585,1994-1995,Newcastle Utd,20,12,10,67,47,72,0,132,0,1,0,0,0.0,0,56,1,0,0,0
586,1994-1995,Tottenham,16,14,12,66,58,62,0,186,0,1,0,0,0.0,0,71,6,0,0,0
587,1994-1995,QPR,17,9,16,61,59,60,0,137,0,3,0,0,0.0,0,53,2,0,0,0
588,1994-1995,Wimbledon,15,11,16,48,65,56,0,223,0,3,0,0,0.0,0,70,0,0,0,0
589,1994-1995,Southampton,12,18,12,61,63,54,0,159,0,0,0,0,0.0,0,62,8,0,0,0
590,1994-1995,Chelsea,13,15,14,50,55,54,0,228,0,5,0,0,0.0,0,44,1,0,0,0
591,1994-1995,Arsenal,13,12,17,53,49,51,0,195,0,1,0,0,0.0,0,62,5,0,0,0
592,1994-1995,Sheffield Weds,13,12,17,49,57,51,0,198,0,4,0,0,0.0,0,65,3,0,0,0
593,1994-1995,West Ham,13,11,18,44,48,50,0,172,0,4,0,0,0.0,0,54,4,0,0,0
594,1994-1995,Everton,11,17,14,44,51,50,0,145,0,2,0,0,0.0,0,70,1,0,0,0
595,1994-1995,Coventry City,12,14,16,44,62,50,0,210,0,5,0,0,0.0,0,62,1,0,0,0
596,1994-1995,Manchester City,12,13,17,53,64,49,0,206,0,0,0,0,0.0,0,76,4,0,0,0
597,1994-1995,Aston Villa,11,15,16,51,56,48,0,158,0,1,0,0,0.0,0,57,2,0,0,0
598,1994-1995,Crystal Palace,11,12,19,34,49,45,0,175,0,3,0,0,0.0,0,70,0,0,0,0
599,1994-1995,Norwich City,10,13,19,37,54,43,0,199,0,2,0,0,0.0,0,48,2,0,0,0
600,1994-1995,Leicester City,6,11,25,45,80,29,0,184,0,5,0,0,0.0,0,68,4,0,0,0
601,1994-1995,Ipswich Town,7,6,29,36,93,27,0,171,0,3,0,0,0.0,0,71,6,0,0,0
602,1993-1994,Manchester Utd,27,11,4,80,38,92,0,224,0,4,0,0,0.0,0,32,1,0,0,0
603,1993-1994,Blackburn,25,9,8,63,36,84,0,166,0,3,0,0,0.0,0,23,1,0,0,0
604,1993-1994,Newcastle Utd,23,8,11,82,41,77,0,245,0,3,0,0,0.0,0,28,0,0,0,0
605,1993-1994,Arsenal,18,17,7,53,28,71,0,178,0,3,0,0,0.0,0,29,2,0,0,0
606,1993-1994,Leeds United,18,16,8,65,39,70,0,196,0,3,0,0,0.0,0,14,0,0,0,0
607,1993-1994,Wimbledon,18,11,13,56,53,65,0,183,0,3,0,0,0.0,0,33,0,0,0,0
608,1993-1994,Sheffield Weds,16,16,10,76,54,64,0,177,0,2,0,0,0.0,0,25,0,0,0,0
609,1993-1994,Liverpool,17,9,16,59,55,60,0,199,0,1,0,0,0.0,0,37,0,0,0,0
610,1993-1994,QPR,16,12,14,62,61,60,0,219,0,5,0,0,0.0,0,31,1,0,0,0
611,1993-1994,Aston Villa,15,12,15,46,50,57,0,136,0,1,0,0,0.0,0,34,0,0,0,0
612,1993-1994,Coventry City,14,14,14,43,45,56,0,248,0,3,0,0,0.0,0,31,2,0,0,0
613,1993-1994,Norwich City,12,17,13,65,61,53,0,227,0,9,0,0,0.0,0,23,1,0,0,0
614,1993-1994,West Ham,13,13,16,47,58,52,0,184,0,1,0,0,0.0,0,26,2,0,0,0
615,1993-1994,Chelsea,13,12,17,49,53,51,0,166,0,1,0,0,0.0,0,30,4,0,0,0
616,1993-1994,Tottenham,11,12,19,54,59,45,0,186,0,5,0,0,0.0,0,31,3,0,0,0
617,1993-1994,Manchester City,9,18,15,38,49,45,0,177,0,0,0,0,0.0,0,43,4,0,0,0
618,1993-1994,Everton,12,8,22,42,63,44,0,229,0,2,0,0,0.0,0,21,2,0,0,0
619,1993-1994,Southampton,12,7,23,49,66,43,0,204,0,7,0,0,0.0,0,43,1,0,0,0
620,1993-1994,Ipswich Town,9,16,17,35,58,43,0,189,0,7,0,0,0.0,0,39,1,0,0,0
621,1993-1994,Sheffield Utd,8,18,16,42,60,42,0,195,0,2,0,0,0.0,0,26,1,0,0,0
622,1993-1994,Oldham Athletic,9,13,20,42,68,40,0,169,0,2,0,0,0.0,0,23,1,0,0,0
623,1993-1994,Swindon Town,5,15,22,47,100,30,0,197,0,1,0,0,0.0,0,37,0,0,0,0
624,1992-1993,Manchester Utd,24,12,6,67,31,84,0,179,0,0,0,0,0.0,0,38,1,0,0,0
625,1992-1993,Aston Villa,21,11,10,57,40,74,0,217,0,2,0,0,0.0,0,23,0,0,0,0
626,1992-1993,Norwich City,21,9,12,61,65,72,0,230,0,3,0,0,0.0,0,37,3,0,0,0
627,1992-1993,Blackburn,20,11,11,68,46,71,0,195,0,1,0,0,0.0,0,45,2,0,0,0
628,1992-1993,QPR,17,12,13,63,55,63,0,168,0,2,0,0,0.0,0,32,1,0,0,0
629,1992-1993,Liverpool,16,11,15,62,55,59,0,160,0,0,0,0,0.0,0,31,3,0,0,0
630,1992-1993,Sheffield Weds,15,14,13,55,51,59,0,195,0,4,0,0,0.0,0,29,3,0,0,0
631,1992-1993,Tottenham,16,11,15,60,66,59,0,167,0,4,0,0,0.0,0,33,1,0,0,0
632,1992-1993,Manchester City,15,12,15,56,51,57,0,203,0,5,0,0,0.0,0,42,0,0,0,0
633,1992-1993,Arsenal,15,11,16,40,38,56,0,211,0,8,0,0,0.0,0,35,3,0,0,0
634,1992-1993,Chelsea,14,14,14,51,54,56,0,227,0,3,0,0,0.0,0,44,1,0,0,0
635,1992-1993,Wimbledon,14,12,16,56,55,54,0,191,0,2,0,0,0.0,0,32,0,0,0,0
636,1992-1993,Everton,15,8,19,53,55,53,0,182,0,1,0,0,0.0,0,44,2,0,0,0
637,1992-1993,Sheffield Utd,14,10,18,54,53,52,0,193,0,3,0,0,0.0,0,22,0,0,0,0
638,1992-1993,Coventry City,13,13,16,52,57,52,0,176,0,4,0,0,0.0,0,30,1,0,0,0
639,1992-1993,Ipswich Town,12,16,14,50,55,52,0,202,0,1,0,0,0.0,0,38,0,0,0,0
640,1992-1993,Leeds United,12,15,15,57,62,51,0,212,0,3,0,0,0.0,0,37,0,0,0,0
641,1992-1993,Southampton,13,11,18,54,61,50,0,209,0,1,0,0,0.0,0,55,4,0,0,0
642,1992-1993,Oldham Athletic,13,10,19,63,74,49,0,216,0,3,0,0,0.0,0,30,1,0,0,0
643,1992-1993,Crystal Palace,11,16,15,48,61,49,0,205,0,2,0,0,0.0,0,55,3,0,0,0
644,1992-1993,Middlesbrough,11,11,20,54,75,44,0,149,0,0,0,0,0.0,0,40,1,0,0,0
645,1992-1993,Nott'ham Forest,10,10,22,41,62,40,0,198,0,2,0,0,0.0,0,50,3,0,0,0
646,1991-1992,Leeds United,22,16,4,74,37,82,0,0,0,0,0,0,0.0,0,0,0,0,0,0
647,1991-1992,Manchester Utd,21,15,6,63,33,78,0,0,0,0,0,0,0.0,0,0,0,0,0,0
648,1991-1992,Sheffield Weds,21,12,9,62,49,75,0,0,0,0,0,0,0.0,0,0,0,0,0,0
649,1991-1992,Arsenal,19,15,8,81,46,72,0,0,0,0,0,0,0.0,0,0,0,0,0,0
650,1991-1992,Manchester City,20,10,12,61,48,70,0,0,0,0,0,0,0.0,0,0,0,0,0,0
651,1991-1992,Liverpool,16,16,10,47,40,64,0,0,0,0,0,0,0.0,0,0,0,0,0,0
652,1991-1992,Aston Villa,17,9,16,48,44,60,0,0,0,0,0,0,0.0,0,0,0,0,0,0
653,1991-1992,Nott'ham Forest,16,11,15,60,58,59,0,0,0,0,0,0,0.0,0,0,0,0,0,0
654,1991-1992,Sheffield Utd,16,9,17,65,63,57,0,0,0,0,0,0,0.0,0,0,0,0,0,0
655,1991-1992,Crystal Palace,14,15,13,53,61,57,0,0,0,0,0,0,0.0,0,0,0,0,0,0
656,1991-1992,QPR,12,18,12,48,47,54,0,0,0,0,0,0,0.0,0,0,0,0,0,0
657,1991-1992,Everton,13,14,15,52,51,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
658,1991-1992,Wimbledon,13,14,15,53,53,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
659,1991-1992,Chelsea,13,14,15,50,60,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
660,1991-1992,Tottenham,15,7,20,58,63,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
661,1991-1992,Southampton,14,10,18,39,55,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
662,1991-1992,Oldham Athletic,14,9,19,63,67,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
663,1991-1992,Norwich City,11,12,19,47,63,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0
664,1991-1992,Coventry City,11,11,20,35,44,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
665,1991-1992,Luton Town,10,12,20,38,71,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
666,1991-1992,Notts County,10,10,22,40,62,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
667,1991-1992,West Ham,9,11,22,37,59,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0
668,1990-1991,Arsenal,24,13,1,74,18,83,0,0,0,0,0,0,0.0,0,0,0,0,0,0
669,1990-1991,Liverpool,23,7,8,77,40,76,0,0,0,0,0,0,0.0,0,0,0,0,0,0
670,1990-1991,Crystal Palace,20,9,9,50,41,69,0,0,0,0,0,0,0.0,0,0,0,0,0,0
671,1990-1991,Leeds United,19,7,12,65,47,64,0,0,0,0,0,0,0.0,0,0,0,0,0,0
672,1990-1991,Manchester City,17,11,10,64,53,62,0,0,0,0,0,0,0.0,0,0,0,0,0,0
673,1990-1991,Manchester Utd,16,12,10,58,45,59,0,0,0,0,0,0,0.0,0,0,0,0,0,0
674,1990-1991,Wimbledon,14,14,10,53,46,56,0,0,0,0,0,0,0.0,0,0,0,0,0,0
675,1990-1991,Nott'ham Forest,14,12,12,65,50,54,0,0,0,0,0,0,0.0,0,0,0,0,0,0
676,1990-1991,Everton,13,12,13,50,46,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
677,1990-1991,Tottenham,11,16,11,51,50,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0
678,1990-1991,Chelsea,13,10,15,58,69,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0
679,1990-1991,QPR,12,10,16,44,53,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
680,1990-1991,Sheffield Utd,13,7,18,36,55,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
681,1990-1991,Southampton,12,9,17,58,69,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0
682,1990-1991,Norwich City,13,6,19,41,64,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0
683,1990-1991,Coventry City,11,11,16,42,49,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
684,1990-1991,Aston Villa,9,14,15,46,58,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
685,1990-1991,Luton Town,10,7,21,42,61,37,0,0,0,0,0,0,0.0,0,0,0,0,0,0
686,1990-1991,Sunderland,8,10,20,38,60,34,0,0,0,0,0,0,0.0,0,0,0,0,0,0
687,1990-1991,Derby County,5,9,24,37,75,24,0,0,0,0,0,0,0.0,0,0,0,0,0,0
688,1989-1990,Liverpool,23,10,5,78,37,79,0,0,0,0,0,0,0.0,0,0,0,0,0,0
689,1989-1990,Aston Villa,21,7,10,57,38,70,0,0,0,0,0,0,0.0,0,0,0,0,0,0
690,1989-1990,Tottenham,19,6,13,59,47,63,0,0,0,0,0,0,0.0,0,0,0,0,0,0
691,1989-1990,Arsenal,18,8,12,54,38,62,0,0,0,0,0,0,0.0,0,0,0,0,0,0
692,1989-1990,Chelsea,16,12,10,58,50,60,0,0,0,0,0,0,0.0,0,0,0,0,0,0
693,1989-1990,Everton,17,8,13,57,46,59,0,0,0,0,0,0,0.0,0,0,0,0,0,0
694,1989-1990,Southampton,15,10,13,71,63,55,0,0,0,0,0,0,0.0,0,0,0,0,0,0
695,1989-1990,Wimbledon,13,16,9,47,40,55,0,0,0,0,0,0,0.0,0,0,0,0,0,0
696,1989-1990,Nott'ham Forest,15,9,14,55,47,54,0,0,0,0,0,0,0.0,0,0,0,0,0,0
697,1989-1990,Norwich City,13,14,11,44,42,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
698,1989-1990,QPR,13,11,14,45,44,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
699,1989-1990,Coventry City,14,7,17,39,59,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0
700,1989-1990,Manchester Utd,13,9,16,46,47,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
701,1989-1990,Manchester City,12,12,14,43,52,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
702,1989-1990,Crystal Palace,13,9,16,42,66,48,0,0,0,0,0,0,0.0,0,0,0,0,0,0
703,1989-1990,Derby County,13,7,18,43,40,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
704,1989-1990,Luton Town,10,13,15,43,57,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
705,1989-1990,Sheffield Weds,11,10,17,35,51,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
706,1989-1990,Charlton Ath,7,9,22,31,57,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0
707,1989-1990,Millwall,5,11,22,39,65,26,0,0,0,0,0,0,0.0,0,0,0,0,0,0
708,1988-1989,Arsenal,22,10,6,73,36,76,0,0,0,0,0,0,0.0,0,0,0,0,0,0
709,1988-1989,Liverpool,22,10,6,65,28,76,0,0,0,0,0,0,0.0,0,0,0,0,0,0
710,1988-1989,Nott'ham Forest,17,13,8,64,43,64,0,0,0,0,0,0,0.0,0,0,0,0,0,0
711,1988-1989,Norwich City,17,11,10,48,45,62,0,0,0,0,0,0,0.0,0,0,0,0,0,0
712,1988-1989,Derby County,17,7,14,40,38,58,0,0,0,0,0,0,0.0,0,0,0,0,0,0
713,1988-1989,Tottenham,15,12,11,60,46,57,0,0,0,0,0,0,0.0,0,0,0,0,0,0
714,1988-1989,Coventry City,14,13,11,47,42,55,0,0,0,0,0,0,0.0,0,0,0,0,0,0
715,1988-1989,Everton,14,12,12,50,45,54,0,0,0,0,0,0,0.0,0,0,0,0,0,0
716,1988-1989,QPR,14,11,13,43,37,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
717,1988-1989,Millwall,14,11,13,47,52,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
718,1988-1989,Manchester Utd,13,12,13,45,35,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
719,1988-1989,Wimbledon,14,9,15,50,46,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
720,1988-1989,Southampton,10,15,13,52,66,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0
721,1988-1989,Charlton Ath,10,12,16,44,58,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
722,1988-1989,Sheffield Weds,10,12,16,34,51,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
723,1988-1989,Luton Town,10,11,17,42,52,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
724,1988-1989,Aston Villa,9,13,16,45,56,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
725,1988-1989,Middlesbrough,9,12,17,44,61,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
726,1988-1989,West Ham,10,8,20,37,62,38,0,0,0,0,0,0,0.0,0,0,0,0,0,0
727,1988-1989,Newcastle Utd,7,10,21,32,63,31,0,0,0,0,0,0,0.0,0,0,0,0,0,0
728,1987-1988,Liverpool,26,12,2,87,24,90,0,0,0,0,0,0,0.0,0,0,0,0,0,0
729,1987-1988,Manchester Utd,23,12,5,71,38,81,0,0,0,0,0,0,0.0,0,0,0,0,0,0
730,1987-1988,Nott'ham Forest,20,13,7,67,39,73,0,0,0,0,0,0,0.0,0,0,0,0,0,0
731,1987-1988,Everton,19,13,8,53,27,70,0,0,0,0,0,0,0.0,0,0,0,0,0,0
732,1987-1988,QPR,19,10,11,48,38,67,0,0,0,0,0,0,0.0,0,0,0,0,0,0
733,1987-1988,Arsenal,18,12,10,58,39,66,0,0,0,0,0,0,0.0,0,0,0,0,0,0
734,1987-1988,Wimbledon,14,15,11,58,47,57,0,0,0,0,0,0,0.0,0,0,0,0,0,0
735,1987-1988,Newcastle Utd,14,14,12,55,53,56,0,0,0,0,0,0,0.0,0,0,0,0,0,0
736,1987-1988,Luton Town,14,11,15,57,58,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
737,1987-1988,Coventry City,13,14,13,46,53,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
738,1987-1988,Sheffield Weds,15,8,17,52,66,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
739,1987-1988,Southampton,12,14,14,49,53,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
740,1987-1988,Tottenham,12,11,17,38,48,47,0,0,0,0,0,0,0.0,0,0,0,0,0,0
741,1987-1988,Norwich City,12,9,19,40,52,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0
742,1987-1988,Derby County,10,13,17,35,45,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
743,1987-1988,West Ham,9,15,16,40,52,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
744,1987-1988,Charlton Ath,9,15,16,38,52,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
745,1987-1988,Chelsea,9,15,16,50,68,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
746,1987-1988,Portsmouth,7,14,19,36,66,35,0,0,0,0,0,0,0.0,0,0,0,0,0,0
747,1987-1988,Watford,7,11,22,27,51,32,0,0,0,0,0,0,0.0,0,0,0,0,0,0
748,1987-1988,Oxford United,6,13,21,44,80,31,0,0,0,0,0,0,0.0,0,0,0,0,0,0
749,1986-1987,Everton,26,8,8,76,31,86,0,0,0,0,0,0,0.0,0,0,0,0,0,0
750,1986-1987,Liverpool,23,8,11,72,42,77,0,0,0,0,0,0,0.0,0,0,0,0,0,0
751,1986-1987,Tottenham,21,8,13,68,43,71,0,0,0,0,0,0,0.0,0,0,0,0,0,0
752,1986-1987,Arsenal,20,10,12,58,35,70,0,0,0,0,0,0,0.0,0,0,0,0,0,0
753,1986-1987,Norwich City,17,17,8,53,51,68,0,0,0,0,0,0,0.0,0,0,0,0,0,0
754,1986-1987,Wimbledon,19,9,14,57,50,66,0,0,0,0,0,0,0.0,0,0,0,0,0,0
755,1986-1987,Luton Town,18,12,12,47,45,66,0,0,0,0,0,0,0.0,0,0,0,0,0,0
756,1986-1987,Nott'ham Forest,18,11,13,64,51,65,0,0,0,0,0,0,0.0,0,0,0,0,0,0
757,1986-1987,Watford,18,9,15,67,54,63,0,0,0,0,0,0,0.0,0,0,0,0,0,0
758,1986-1987,Coventry City,17,12,13,50,45,63,0,0,0,0,0,0,0.0,0,0,0,0,0,0
759,1986-1987,Manchester Utd,14,14,14,52,45,56,0,0,0,0,0,0,0.0,0,0,0,0,0,0
760,1986-1987,Southampton,14,10,18,69,68,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
761,1986-1987,Sheffield Weds,13,13,16,58,59,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
762,1986-1987,Chelsea,13,13,16,53,64,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
763,1986-1987,West Ham,14,10,18,52,67,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
764,1986-1987,QPR,13,11,18,48,64,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
765,1986-1987,Newcastle Utd,12,11,19,47,65,47,0,0,0,0,0,0,0.0,0,0,0,0,0,0
766,1986-1987,Oxford United,11,13,18,44,69,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
767,1986-1987,Charlton Ath,11,11,20,45,55,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
768,1986-1987,Leicester City,11,9,22,54,76,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
769,1986-1987,Manchester City,8,15,19,36,57,39,0,0,0,0,0,0,0.0,0,0,0,0,0,0
770,1986-1987,Aston Villa,8,12,22,45,79,36,0,0,0,0,0,0,0.0,0,0,0,0,0,0
771,1985-1986,Liverpool,26,10,6,89,37,88,0,0,0,0,0,0,0.0,0,0,0,0,0,0
772,1985-1986,Everton,26,8,8,87,41,86,0,0,0,0,0,0,0.0,0,0,0,0,0,0
773,1985-1986,West Ham,26,6,10,74,40,84,0,0,0,0,0,0,0.0,0,0,0,0,0,0
774,1985-1986,Manchester Utd,22,10,10,70,36,76,0,0,0,0,0,0,0.0,0,0,0,0,0,0
775,1985-1986,Sheffield Weds,21,10,11,63,54,73,0,0,0,0,0,0,0.0,0,0,0,0,0,0
776,1985-1986,Chelsea,20,11,11,57,56,71,0,0,0,0,0,0,0.0,0,0,0,0,0,0
777,1985-1986,Arsenal,20,9,13,49,47,69,0,0,0,0,0,0,0.0,0,0,0,0,0,0
778,1985-1986,Nott'ham Forest,19,11,12,69,53,68,0,0,0,0,0,0,0.0,0,0,0,0,0,0
779,1985-1986,Luton Town,18,12,12,61,44,66,0,0,0,0,0,0,0.0,0,0,0,0,0,0
780,1985-1986,Tottenham,19,8,15,74,52,65,0,0,0,0,0,0,0.0,0,0,0,0,0,0
781,1985-1986,Newcastle Utd,17,12,13,67,72,63,0,0,0,0,0,0,0.0,0,0,0,0,0,0
782,1985-1986,Watford,16,11,15,69,62,59,0,0,0,0,0,0,0.0,0,0,0,0,0,0
783,1985-1986,QPR,15,7,20,53,64,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
784,1985-1986,Southampton,12,10,20,51,62,46,0,0,0,0,0,0,0.0,0,0,0,0,0,0
785,1985-1986,Manchester City,11,12,19,43,57,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0
786,1985-1986,Aston Villa,10,14,18,51,67,44,0,0,0,0,0,0,0.0,0,0,0,0,0,0
787,1985-1986,Coventry City,11,10,21,48,71,43,0,0,0,0,0,0,0.0,0,0,0,0,0,0
788,1985-1986,Oxford United,10,12,20,62,80,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
789,1985-1986,Leicester City,10,12,20,54,76,42,0,0,0,0,0,0,0.0,0,0,0,0,0,0
790,1985-1986,Ipswich Town,11,8,23,32,55,41,0,0,0,0,0,0,0.0,0,0,0,0,0,0
791,1985-1986,Birmingham City,8,5,29,30,73,29,0,0,0,0,0,0,0.0,0,0,0,0,0,0
792,1985-1986,West Brom,4,12,26,35,89,24,0,0,0,0,0,0,0.0,0,0,0,0,0,0
793,1984-1985,Everton,28,6,8,88,43,90,0,0,0,0,0,0,0.0,0,0,0,0,0,0
794,1984-1985,Liverpool,22,11,9,68,35,77,0,0,0,0,0,0,0.0,0,0,0,0,0,0
795,1984-1985,Tottenham,23,8,11,78,51,77,0,0,0,0,0,0,0.0,0,0,0,0,0,0
796,1984-1985,Manchester Utd,22,10,10,77,47,76,0,0,0,0,0,0,0.0,0,0,0,0,0,0
797,1984-1985,Southampton,19,11,12,56,47,68,0,0,0,0,0,0,0.0,0,0,0,0,0,0
798,1984-1985,Chelsea,18,12,12,63,48,66,0,0,0,0,0,0,0.0,0,0,0,0,0,0
799,1984-1985,Arsenal,19,9,14,61,49,66,0,0,0,0,0,0,0.0,0,0,0,0,0,0
800,1984-1985,Sheffield Weds,17,14,11,58,45,65,0,0,0,0,0,0,0.0,0,0,0,0,0,0
801,1984-1985,Nott'ham Forest,19,7,16,56,48,64,0,0,0,0,0,0,0.0,0,0,0,0,0,0
802,1984-1985,Aston Villa,15,11,16,60,60,56,0,0,0,0,0,0,0.0,0,0,0,0,0,0
803,1984-1985,Watford,14,13,15,81,71,55,0,0,0,0,0,0,0.0,0,0,0,0,0,0
804,1984-1985,West Brom,16,7,19,58,62,55,0,0,0,0,0,0,0.0,0,0,0,0,0,0
805,1984-1985,Luton Town,15,9,18,57,61,54,0,0,0,0,0,0,0.0,0,0,0,0,0,0
806,1984-1985,Newcastle Utd,13,13,16,55,70,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
807,1984-1985,Leicester City,15,6,21,65,73,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
808,1984-1985,West Ham,13,12,17,51,68,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
809,1984-1985,Ipswich Town,13,11,18,46,57,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
810,1984-1985,Coventry City,15,5,22,47,64,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
811,1984-1985,QPR,13,11,18,53,72,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0
812,1984-1985,Norwich City,13,10,19,46,64,49,0,0,0,0,0,0,0.0,0,0,0,0,0,0
813,1984-1985,Sunderland,10,10,22,40,62,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0
814,1984-1985,Stoke City,3,8,31,24,91,17,0,0,0,0,0,0,0.0,0,0,0,0,0,0
815,1983-1984,Liverpool,22,14,6,73,32,80,0,0,0,0,0,0,0.0,0,0,0,0,0,0
816,1983-1984,Southampton,22,11,9,66,38,77,0,0,0,0,0,0,0.0,0,0,0,0,0,0
817,1983-1984,Nott'ham Forest,22,8,12,76,45,74,0,0,0,0,0,0,0.0,0,0,0,0,0,0
818,1983-1984,Manchester Utd,20,14,8,71,41,74,0,0,0,0,0,0,0.0,0,0,0,0,0,0
819,1983-1984,QPR,22,7,13,67,37,73,0,0,0,0,0,0,0.0,0,0,0,0,0,0
820,1983-1984,Arsenal,18,9,15,74,60,63,0,0,0,0,0,0,0.0,0,0,0,0,0,0
821,1983-1984,Everton,16,14,12,44,42,62,0,0,0,0,0,0,0.0,0,0,0,0,0,0
822,1983-1984,Tottenham,17,10,15,64,65,61,0,0,0,0,0,0,0.0,0,0,0,0,0,0
823,1983-1984,West Ham,17,9,16,60,55,60,0,0,0,0,0,0,0.0,0,0,0,0,0,0
824,1983-1984,Aston Villa,17,9,16,59,61,60,0,0,0,0,0,0,0.0,0,0,0,0,0,0
825,1983-1984,Watford,16,9,17,68,77,57,0,0,0,0,0,0,0.0,0,0,0,0,0,0
826,1983-1984,Ipswich Town,15,8,19,55,57,53,0,0,0,0,0,0,0.0,0,0,0,0,0,0
827,1983-1984,Sunderland,13,13,16,42,53,52,0,0,0,0,0,0,0.0,0,0,0,0,0,0
828,1983-1984,Norwich City,12,15,15,48,49,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
829,1983-1984,Leicester City,13,12,17,65,68,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
830,1983-1984,Luton Town,14,9,19,53,66,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
831,1983-1984,West Brom,14,9,19,48,62,51,0,0,0,0,0,0,0.0,0,0,0,0,0,0
