,Season,Squad,W,D,L,GF,GA,Pts,Sh,SoT,FK,PK,Cmp,Att,Cmp%,CK,CrdY,CrdR,Fls,PKcon,OG
50,2021-2022,Newcastle Utd,13,10,15,44,62,49,721,237,13,7,21163,25552,82.8,282,50,1,363,0,1
51,2021-2022,Crystal Palace,11,15,12,50,46,48,704,237,17,7,24406,27902,87.5,316,42,1,321,1,0
52,2021-2022,Brentford,13,7,18,48,56,46,503,179,19,3,16690,20641,80.9,197,77,2,396,5,3
53,2021-2022,Aston Villa,13,6,19,52,54,45,446,142,15,3,10201,14036,72.7,160,81,2,392,6,2
54,2021-2022,Southampton,9,13,16,43,67,40,370,104,18,3,12164,16070,75.7,165,57,1,356,12,2
55,2021-2022,Everton,11,6,21,43,66,39,478,161,24,4,12505,16941,73.8,233,65,2,402,2,2
56,2021-2022,Leeds United,9,11,18,42,79,38,486,185,16,5,17204,20696,83.1,193,69,1,386,2,1
57,2021-2022,Burnley,7,14,17,34,53,35,397,123,24,1,10423,14640,71.2,161,63,3,442,7,3
58,2021-2022,Watford,6,5,27,34,77,23,443,142,13,4,14326,18378,78.0,200,52,3,323,6,2
59,2021-2022,Norwich City,5,7,26,23,84,22,401,133,13,1,15253,19103,79.8,168,62,2,366,10,1
60,2020-2021,Manchester City,27,5,6,83,32,86,453,140,23,6,18041,21807,82.7,207,49,5,346,3,4
61,2020-2021,Manchester Utd,21,11,6,73,44,74,514,178,16,5,12938,16996,76.1,213,71,4,439,6,1
62,2020-2021,Liverpool,20,9,9,68,42,69,478,134,15,6,15772,19871,79.4,219,49,6,428,7,2
63,2020-2021,Chelsea,19,10,9,58,36,67,381,124,15,3,10825,15562,69.6,172,48,0,384,3,1
64,2020-2021,Leicester City,20,6,12,68,50,66,546,193,16,8,21969,25799,85.2,226,51,3,433,4,1
65,2020-2021,West Ham,19,8,11,62,47,65,345,127,18,3,11627,15597,74.5,151,56,2,409,4,0
66,2020-2021,Tottenham,18,8,12,68,45,62,395,143,15,4,14792,18696,79.1,167,59,2,386,4,1
67,2020-2021,Arsenal,18,7,13,55,39,61,436,125,12,3,15401,19512,78.9,164,67,3,484,7,1
68,2020-2021,Leeds United,18,5,15,62,54,59,518,193,9,4,16284,20629,78.9,229,61,1,432,9,2
69,2020-2021,Everton,17,8,13,47,48,59,473,170,20,10,17014,21216,80.2,212,61,0,413,4,2
70,2020-2021,Aston Villa,16,7,15,55,46,55,602,204,22,6,21929,26226,83.6,257,40,0,396,8,0
71,2020-2021,Newcastle Utd,12,9,17,46,62,45,590,211,21,5,23819,27167,87.7,247,46,2,361,10,1
72,2020-2021,Wolves,12,9,17,36,52,45,515,196,21,10,18800,22624,83.1,197,64,1,452,4,2
73,2020-2021,Crystal Palace,12,8,18,41,66,44,390,130,25,6,10839,14709,73.7,161,65,3,388,5,3
74,2020-2021,Southampton,12,7,19,47,68,43,319,92,5,3,12146,16264,74.7,170,73,3,459,4,3
75,2020-2021,Brighton,9,14,15,40,46,41,418,157,20,5,14928,19288,77.4,177,52,3,428,9,1
76,2020-2021,Burnley,10,9,19,33,55,39,438,167,35,5,16508,20571,80.2,168,57,2,440,10,3
77,2020-2021,Fulham,5,13,20,27,53,28,335,106,16,4,9769,13978,69.9,144,51,4,404,11,3
78,2020-2021,West Brom,5,11,22,35,76,26,464,158,17,2,12725,16901,75.3,167,50,3,375,5,4
79,2020-2021,Sheffield Utd,7,2,29,20,63,23,459,149,18,4,15548,19225,80.9,208,55,1,426,8,3
80,2019-2020,Liverpool,32,3,3,85,33,99,403,146,19,3,16634,20410,81.5,231,88,5,421,8,0
81,2019-2020,Manchester City,26,3,9,102,35,81,453,147,21,1,11652,15672,74.3,200,70,1,451,6,1
82,2019-2020,Manchester Utd,18,12,8,66,36,66,385,117,21,4,12042,16387,73.5,194,78,3,369,6,0
83,2019-2020,Chelsea,20,6,12,69,54,66,460,139,11,1,15881,20056,79.2,178,59,2,386,2,2
84,2019-2020,Leicester City,18,8,12,67,41,62,384,124,18,3,10049,14694,68.4,170,67,0,412,5,1
85,2019-2020,Tottenham,16,11,11,61,47,59,618,210,29,7,20958,25213,83.1,247,60,0,386,2,3
86,2019-2020,Wolves,15,14,9,51,40,59,373,115,15,3,12274,16395,74.9,177,62,2,424,1,2
87,2019-2020,Arsenal,14,14,10,56,48,56,468,159,20,1,13433,17736,75.7,203,76,3,472,4,3
88,2019-2020,Sheffield Utd,14,12,12,39,39,54,533,183,20,5,17600,21800,80.7,221,43,3,418,10,2
89,2019-2020,Burnley,15,9,14,43,50,54,586,224,20,5,21276,25891,82.2,257,38,1,331,1,1
90,2019-2020,Southampton,15,7,16,51,60,52,735,250,27,6,24557,28190,87.1,298,64,4,362,3,1
91,2019-2020,Everton,13,10,15,44,56,49,530,201,33,10,17744,21725,81.7,204,73,0,423,3,1
92,2019-2020,Newcastle Utd,11,11,16,38,58,44,398,132,14,0,10606,14566,72.8,151,66,3,370,2,2
93,2019-2020,Crystal Palace,11,10,17,31,50,43,407,126,16,2,14965,18869,79.3,162,68,3,363,7,3
94,2019-2020,Brighton,9,14,15,39,54,41,352,109,4,1,12125,16858,71.9,212,63,2,412,3,0
95,2019-2020,West Ham,10,9,19,49,62,39,494,171,27,2,12488,17468,71.5,210,55,4,450,4,1
96,2019-2020,Aston Villa,9,8,21,41,67,35,440,154,21,3,16101,20296,79.3,200,84,3,423,7,2
97,2019-2020,Bournemouth,9,7,22,40,65,34,416,112,18,7,11230,15775,71.2,167,80,3,481,9,3
98,2019-2020,Watford,8,10,20,36,64,34,413,156,13,4,12451,16861,73.8,190,64,1,387,6,3
99,2019-2020,Norwich City,5,6,27,26,75,21,457,142,13,4,14298,18474,77.4,193,61,2,407,3,1
100,2018-2019,Manchester City,32,2,4,95,23,98,462,159,11,4,18425,22549,81.7,209,74,2,412,7,1
101,2018-2019,Liverpool,30,7,1,89,22,97,437,153,16,7,13505,17650,76.5,191,60,1,340,5,3
102,2018-2019,Chelsea,21,9,8,63,39,72,364,99,12,5,11491,15824,72.6,156,62,4,463,10,0
103,2018-2019,Tottenham,23,2,13,67,39,71,358,112,14,2,10134,14793,68.5,139,75,1,360,3,4
104,2018-2019,Arsenal,21,7,10,73,51,70,413,113,13,3,7170,11715,61.2,168,66,1,374,7,0
105,2018-2019,Manchester Utd,19,9,10,65,54,66,602,192,30,5,22960,26774,85.8,215,49,0,339,2,0
106,2018-2019,Wolves,16,9,13,47,46,57,482,135,16,10,12697,16870,75.3,205,59,2,386,5,1
107,2018-2019,Everton,15,9,14,54,46,54,493,163,20,2,13878,18477,75.1,215,57,4,432,5,2
108,2018-2019,Leicester City,15,7,16,51,48,52,451,140,10,2,15096,19303,78.2,161,72,2,423,7,2
109,2018-2019,West Ham,15,7,16,52,55,52,400,116,15,1,13045,17777,73.4,162,57,4,420,9,1
110,2018-2019,Watford,14,8,16,52,59,50,508,173,19,5,14640,19068,76.8,210,63,5,351,5,0
111,2018-2019,Crystal Palace,14,7,17,51,53,49,568,211,20,7,21146,25571,82.7,249,41,2,315,1,0
112,2018-2019,Newcastle Utd,12,9,17,42,48,45,679,252,21,3,24678,28389,86.9,298,44,1,328,4,0
113,2018-2019,Bournemouth,13,6,19,56,70,45,514,210,27,9,16834,20942,80.4,200,77,4,433,6,3
114,2018-2019,Burnley,11,7,20,45,68,40,443,136,16,1,10774,15231,70.7,181,57,2,423,6,1
